MPN,Manufacturer Name, UPC, Product Name, Product Description, Product Price, Product URL, Image URL, Dealtime.co.uk Categorisation, Stock Availability, Stock Description, Standard Shipping, Weight
1083,SUUNTO,427651,Suunto D9  Transmitter,The Suunto D9 Dive Computer complete with Transmitter,909.00,http://192.168.1.125/deepblue08/dive/department/computers/suunto/product/suunto-d9-transmitter/427651,http://192.168.1.125/deepblue08uploadImages/small/product427651image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,400
1076,SEAC SUB,427652,SEAC SUB ICARO,The Icaro is a new concept in back volume BCDs with its enhanced simplicity and light weight,325.00,http://192.168.1.125/deepblue08/dive/department/bcd-039s-and-wing-039s/seac-sub/product/seac-sub-icaro/427652,http://192.168.1.125/deepblue08uploadImages/small/product427652image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,10000
1076,SEAC SUB,427653,SEAC SUB ICARO TECH,Ultimate technology and freedom of movement specially conceived for a leisure-professional bc vest,399.00,http://192.168.1.125/deepblue08/dive/department/bcd-039s-and-wing-039s/seac-sub/product/seac-sub-icaro-tech/427653,http://192.168.1.125/deepblue08uploadImages/small/product427653image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,10000
1076,SEAC SUB,427654,SEAC SUB PRO 2000 ADV,The Seac Sub Pro 2000 ADV is the natural evolution of the semiback concept featuring the innovative oleo-pneumatic inflator system,399.00,http://192.168.1.125/deepblue08/dive/department/bcd-039s-and-wing-039s/seac-sub/product/seac-sub-pro-2000-adv/427654,http://192.168.1.125/deepblue08uploadImages/small/product427654image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,10000
1089,WEEZLE,427657,Weezle Russian Hat,Complete your Weezle ensemble with a winter hat,29.00,http://192.168.1.125/deepblue08/dive/department/undersuits/weezle/product/weezle-russian-hat/427657,http://192.168.1.125/deepblue08uploadImages/small/product427657image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,300
1029,APEKS,427658,Apeks XTX200 Regulator,With improved ergonomics a reduction in breathing resistance and a re- designed heat exchanger offering improved performance the XTX200 is the flagship regulator in the Apeks range,359.00,http://192.168.1.125/deepblue08/dive/department/regulators/apeks/product/apeks-xtx200-regulator/427658,http://192.168.1.125/deepblue08uploadImages/small/product427658image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1029,APEKS,427659,Apeks XTX100 Regulator,One of our top-of-the-range quality regulators the XTX100 is the definitive blend of style quality and high performance,350.00,http://192.168.1.125/deepblue08/dive/department/regulators/apeks/product/apeks-xtx100-regulator/427659,http://192.168.1.125/deepblue08uploadImages/small/product427659image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1029,APEKS,427660,Apeks XTX50 Regulator,Available with either an A Clamp first stage or a 300 bar DIN fitting,280.00,http://192.168.1.125/deepblue08/dive/department/regulators/apeks/product/apeks-xtx50-regulator/427660,http://192.168.1.125/deepblue08uploadImages/small/product427660image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1029,APEKS,427661,Apeks XTX40 Regulator,Apeks XTX40 Regulator features improvements in design and material from the earlier models,220.00,http://192.168.1.125/deepblue08/dive/department/regulators/apeks/product/apeks-xtx40-regulator/427661,http://192.168.1.125/deepblue08uploadImages/small/product427661image.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1074,SCUBAPRO,427662,Scubapro Profile 3mm Mens Steamer,This new family of steamers is a perfect blend of style and function and fits perfectly in colourful warm water environments,125.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-profile-3mm-mens-steamer/427662,http://192.168.1.125/deepblue08uploadImages/small/product427662image1.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1500
1074,SCUBAPRO,427663,Scubapro T-Flex Mens Rash Vest,Scubapro Rash vests are manufactured to exacting standards with the finest materials available,23.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-t-flex-mens-rash-vest/427663,http://192.168.1.125/deepblue08uploadImages/small/product427663image1.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,1000
1074,SCUBAPRO,427664,Scubapro Profile 5mm Mens Steamer,This new family of steamers is a perfect blend of style and function and fits perfectly in colourful warm water environments,155.00,http://192.168.1.125/deepblue08/dive/department/wetsuits/scubapro/product/scubapro-profile-5mm-mens-steamer/427664,http://192.168.1.125/deepblue08uploadImages/small/product427664image1.jpeg,UK / Health & Beauty / Health / Vitamins & Nutrition,Y,Ships Next Day,0,3000
